algo,instance,seed,best,gap,time
GA,berlin52,0,7542.0,0.0,10.120269060134888
GA,berlin52,1,7542.0,0.0,10.02780270576477
GA,berlin52,2,7542.0,0.0,10.174766778945923
GA,berlin52,3,7542.0,0.0,10.011627674102783
GA,berlin52,4,7542.0,0.0,10.156012058258057
GA,berlin52,5,7542.0,0.0,10.007400274276733
GA,berlin52,6,7542.0,0.0,10.157317638397217
GA,berlin52,7,7542.0,0.0,10.05880093574524
GA,berlin52,8,7542.0,0.0,10.047799110412598
GA,berlin52,9,7542.0,0.0,10.13586711883545
GA,berlin52,10,7542.0,0.0,10.042399168014526
GA,berlin52,11,7542.0,0.0,10.141229152679443
GA,berlin52,12,7542.0,0.0,10.20837926864624
GA,berlin52,13,7542.0,0.0,10.04833173751831
GA,berlin52,14,7542.0,0.0,10.035396814346313
GA,berlin52,15,7542.0,0.0,10.077800750732422
GA,berlin52,16,7542.0,0.0,10.064854860305786
GA,berlin52,17,7542.0,0.0,10.00772738456726
GA,berlin52,18,7542.0,0.0,10.141133308410645
GA,berlin52,19,7542.0,0.0,10.09949254989624
GA,berlin52,20,7542.0,0.0,10.221936464309692
GA,berlin52,21,7542.0,0.0,10.013676881790161
GA,berlin52,22,7542.0,0.0,10.135621547698975
GA,berlin52,23,7542.0,0.0,10.145713090896606
GA,berlin52,24,7542.0,0.0,10.017516851425171
GA,berlin52,25,7542.0,0.0,10.187342166900635
GA,berlin52,26,7542.0,0.0,10.043429851531982
GA,berlin52,27,7542.0,0.0,10.075213193893433
GA,berlin52,28,7542.0,0.0,10.005914449691772
GA,berlin52,29,7542.0,0.0,10.159642934799194
GA,eil51,0,428.0,0.4694835680751174,10.207912683486938
GA,eil51,1,426.0,0.0,10.048093795776367
GA,eil51,2,428.0,0.4694835680751174,10.223541259765625
GA,eil51,3,427.0,0.2347417840375587,10.029597520828247
GA,eil51,4,426.0,0.0,10.12405276298523
GA,eil51,5,428.0,0.4694835680751174,10.035701990127563
GA,eil51,6,427.0,0.2347417840375587,10.127407550811768
GA,eil51,7,427.0,0.2347417840375587,10.046148300170898
GA,eil51,8,427.0,0.2347417840375587,10.162711381912231
GA,eil51,9,427.0,0.2347417840375587,10.046161651611328
GA,eil51,10,427.0,0.2347417840375587,10.154928922653198
GA,eil51,11,428.0,0.4694835680751174,10.05294156074524
GA,eil51,12,427.0,0.2347417840375587,10.142321825027466
GA,eil51,13,427.0,0.2347417840375587,10.005148887634277
GA,eil51,14,427.0,0.2347417840375587,10.06434416770935
GA,eil51,15,427.0,0.2347417840375587,10.142543315887451
GA,eil51,16,427.0,0.2347417840375587,10.150605916976929
GA,eil51,17,426.0,0.0,10.151465654373169
GA,eil51,18,426.0,0.0,10.0431489944458
GA,eil51,19,427.0,0.2347417840375587,10.038750410079956
GA,eil51,20,427.0,0.2347417840375587,10.103254795074463
GA,eil51,21,426.0,0.0,10.122786521911621
GA,eil51,22,426.0,0.0,10.11337947845459
GA,eil51,23,426.0,0.0,10.110841989517212
GA,eil51,24,427.0,0.2347417840375587,10.143660068511963
GA,eil51,25,427.0,0.2347417840375587,10.124050378799438
GA,eil51,26,427.0,0.2347417840375587,10.068537712097168
GA,eil51,27,427.0,0.2347417840375587,10.161117553710938
GA,eil51,28,426.0,0.0,10.023634672164917
GA,eil51,29,427.0,0.2347417840375587,10.118334293365479
GA,att48,0,10628.0,0.0,10.085705995559692
GA,att48,1,10628.0,0.0,10.056248188018799
GA,att48,2,10628.0,0.0,10.148616790771484
GA,att48,3,10628.0,0.0,10.097811460494995
GA,att48,4,10628.0,0.0,10.01118516921997
GA,att48,5,10628.0,0.0,10.164038896560669
GA,att48,6,10628.0,0.0,10.087825059890747
GA,att48,7,10628.0,0.0,10.146804571151733
GA,att48,8,10628.0,0.0,10.029414415359497
GA,att48,9,10628.0,0.0,10.1446852684021
GA,att48,10,10628.0,0.0,10.089995861053467
GA,att48,11,10628.0,0.0,10.031054019927979
GA,att48,12,10628.0,0.0,10.047606945037842
